X0.logFC	X0.P.Value
ENSG00000013441	-0.582590502877037	0.0672173663383564
ENSG00000069399	-1.049431089	0.00152246921520572
ENSG00000073756	0.530549338799999	0.000155030734888883
ENSG00000078401	0.64799781445386	0.000204239087666466
ENSG00000100625	-0.6022959041	0.00812163500268266
ENSG00000105825	0.647276823	7.36387146615947e-06
ENSG00000107984	0.672694852	0.000124466333163542
ENSG00000108342	-0.633202242229802	0.00892233171394384
ENSG00000109321	0.982478081800014	7.04935041229149e-06
ENSG00000113369	-0.842374205000001	0.00303607324480657
ENSG00000114315	-0.500347060000002	0.00342825338595909
ENSG00000114737	-1.6807477696	0.0106319423029161
ENSG00000116273	-0.6318068838	0.000114781166655821
ENSG00000124882	0.801676478199999	0.000462669886911904
ENSG00000125347	-0.811265005600001	0.0049454963968208
ENSG00000125740	0.764089123300001	0.00612530767436592
ENSG00000128016	-0.831117868	0.0420626541653757
ENSG00000128965	0.750377624889597	1.07411891294262e-05
ENSG00000135245	-0.513889907900001	0.0131959616938168
ENSG00000136158	0.711035716700001	2.07291394128514e-05
ENSG00000137331	-0.579489401343871	0.027821609408743
ENSG00000155090	-0.764663795	0.0564453743959123
ENSG00000159388	-0.898790584	0.0349213701998414
ENSG00000164949	0.626244750999999	3.67578259612422e-05
ENSG00000166289	-0.590121704899999	0.00891418172142199
ENSG00000167772	-0.841976369099999	7.36387146615947e-06
ENSG00000168758	-0.614326919	0.000447649918845703
ENSG00000169242	-0.845545377	2.71604813129045e-06
ENSG00000170525	-0.767804536035559	9.59845231345291e-05
ENSG00000171056	-0.5301568239	0.0330036518614924
ENSG00000171223	-0.7157265078	0.0278605946180939
ENSG00000171522	0.5689841371	0.000124466333163542
ENSG00000172216	-0.760940503000001	0.000133661765137097
ENSG00000175197	0.692332944300001	0.000304829498253861
ENSG00000176907	0.584982133300001	0.0062967147277249
ENSG00000198535	-0.6760789244	0.0126577919162874
ENSG00000198774	0.6720545019	0.0011981808273494
ENSG00000198929	0.5363332098	3.71594422436456e-05
ENSG00000206478	-0.579489401343871	0.027821609408743
ENSG00000221869	-0.7770680022	0.0136288846521357
ENSG00000227231	-0.579489401343871	0.027821609408743
ENSG00000230128	-0.579489401343871	0.027821609408743
ENSG00000235030	-0.579489401343871	0.027821609408743
ENSG00000237155	-0.579489401343871	0.027821609408743
ENSG00000241476	-0.870523067711152	0.0720186758276008
ENSG00000285438	-0.5301568239	0.0330036518614924
