X36.logFC	X36.adj.P.Val
ENSG00000000003	1.873654745	1.38384924086551e-12
ENSG00000000419	0.772035358	2.55456236444393e-08
ENSG00000000460	0.655408213800001	1.24600324185003e-06
ENSG00000000938	-1.059903473	4.20671981104492e-09
ENSG00000000971	1.79228108146216	1.21438192822235e-12
ENSG00000001084	1.4767021678	4.37694599929394e-06
ENSG00000001460	-0.974347357454359	2.02552379397186e-10
ENSG00000001461	0.743960919560004	6.75854679377733e-11
ENSG00000001617	-1.3626127596	6.12129732846825e-10
ENSG00000001630	0.679686959999999	1.31605041658502e-08
ENSG00000002330	0.643495718374545	3.77042523694867e-09
ENSG00000002586	2.01976534	7.73367359670522e-12
ENSG00000002587	2.0315911094	1.52491029658749e-13
ENSG00000003147	0.647594570849587	3.84357240882135e-08
ENSG00000003436	2.80220404816983	1.12048365643129e-13
ENSG00000003509	0.501135909800001	1.44120752400479e-07
ENSG00000003756	-1.161449956	3.19370516231569e-10
ENSG00000003989	-1.4080384734	1.71893331971328e-10
ENSG00000004059	1.139768484	4.26038175317094e-09
ENSG00000004468	1.9351974936	1.85601133178818e-09
ENSG00000004478	-3.09159339594844	2.25774417708635e-10
ENSG00000004534	0.5367097224	1.61497014963484e-07
ENSG00000004660	-0.924011685434851	2.56883509227057e-09
ENSG00000004777	-0.688846452681996	6.39083921153368e-07
ENSG00000004779	0.912559499999999	5.1588736468253e-10
ENSG00000004799	5.091484964	1.5917587744299e-13
ENSG00000004864	-0.618534067800001	1.66212943389517e-08
ENSG00000004897	-0.517164488889812	7.64920983390772e-08
ENSG00000004961	-1.0607758914	2.57592686888654e-11
ENSG00000004975	-0.777734962999998	1.3887768736851e-08
ENSG00000005020	1.90179663	2.48073451848564e-12
ENSG00000005022	0.592057201999999	2.20209143355159e-06
ENSG00000005059	1.3500701152	1.41318572424062e-10
ENSG00000005075	0.92369662700187	1.80604497722918e-09
ENSG00000005108	0.708390064700001	0.00478908387358356
ENSG00000005156	-2.0146353192	1.72233780539531e-05
ENSG00000005194	-0.528478411662005	2.96421668061614e-08
ENSG00000005238	-1.94337123384832	1.78237119912795e-13
ENSG00000005249	0.540975208415345	1.27779099413127e-05
ENSG00000005302	0.568562801266824	5.19022977762338e-09
ENSG00000005339	-1.4537412	4.95788751087497e-12
ENSG00000005381	-0.853372391600001	7.50489138840668e-09
ENSG00000005436	-1.1711554404	6.84035703551399e-12
ENSG00000005448	1.643491667	8.47734469342701e-12
ENSG00000005469	0.501975766796287	6.93210464337707e-08
ENSG00000005486	-0.786047608800002	3.80434823201265e-08
ENSG00000005513	-0.835011186199999	1.23374406327213e-08
ENSG00000005812	0.8229159124	2.57031197812342e-08
ENSG00000005882	1.2933374484	3.27568184548286e-10
ENSG00000005884	0.559771796399998	3.72000657148705e-08
ENSG00000005889	-0.571713434000001	4.99528453731117e-07
ENSG00000005893	1.57591666268355	3.1741086251652e-13
ENSG00000006007	0.7844882246	7.16745647824767e-09
ENSG00000006015	0.82131441892177	2.76413946490536e-09
ENSG00000006016	1.2793576352	3.30247136680285e-09
ENSG00000006025	1.0485938168	1.02859838870224e-10
ENSG00000006042	1.1941518742	1.07117901676408e-10
ENSG00000006062	-1.2445052286	5.18512219506572e-11
ENSG00000006116	0.7342145186	0.0112459102568393
ENSG00000006118	1.08354982	4.01431858777411e-09
ENSG00000006125	1.6495645008	7.9408234338053e-10
ENSG00000006210	-0.6131260512	0.0112270367346605
ENSG00000006327	-2.471376013	0.000432173606507558
ENSG00000006432	-0.541235768664824	0.0237751045132751
ENSG00000006451	-0.635465946000001	5.20804490373521e-08
ENSG00000006459	0.742754459665117	1.13428254808841e-10
ENSG00000006468	1.06743545635352	5.24224262280592e-11
ENSG00000006611	-0.5350186415	0.0179556911717372
ENSG00000006638	-0.841581122133808	2.13125134799295e-07
ENSG00000006652	-1.6635252128	2.18290904113198e-12
ENSG00000006695	-0.537367544000001	1.28916865879611e-06
ENSG00000006704	-1.7898063348	4.32726381697241e-13
ENSG00000006712	0.863372966599998	1.56159785948144e-09
ENSG00000006715	1.8062998538	3.62342156086095e-13
ENSG00000006756	0.761234841423306	1.04448210625718e-06
ENSG00000006757	0.5770271454	4.89377045054042e-06
ENSG00000006837	-1.1152886348	4.50613538031569e-12
ENSG00000007080	0.548603314599999	2.55846474211252e-07
ENSG00000007129	0.6116263023	0.0589748015372571
ENSG00000007168	-1.01961517205746	7.74059514230485e-11
ENSG00000007237	-1.845890968	6.23410170746347e-06
ENSG00000007255	2.9789209962	4.50047801744229e-15
ENSG00000007314	-0.5673386452	2.72725362004965e-05
ENSG00000007341	-1.19127085451937	2.92330160573974e-12
ENSG00000007350	0.3783642626	0.0203255032893455
ENSG00000007392	-0.529738218184577	3.59417988362121e-09
ENSG00000007545	-0.5799413892	6.50479413559145e-09
ENSG00000007908	-1.1361719062672	2.95772454516926e-08
ENSG00000007944	-0.951948432000002	1.20267544773489e-09
ENSG00000007968	0.604397356	3.09700912431193e-07
ENSG00000008083	-1.2175903784	2.67103734517771e-10
ENSG00000008086	0.907463667799999	4.47901025815996e-07
ENSG00000008256	-1.51461602	1.31681044108153e-12
ENSG00000008277	1.1151793042	0.0101801878089408
ENSG00000008282	1.551000716	1.77058440420923e-11
ENSG00000008294	-1.1504123994392	1.14600849004115e-10
ENSG00000008300	-1.0452909386	2.39777042639361e-09
ENSG00000008311	1.654735797	3.68619553082493e-11
ENSG00000008324	1.6943137778	5.61120643529487e-11
ENSG00000008382	1.6943940676	1.22553210822811e-10
ENSG00000008394	0.829180262000002	1.21442128592146e-09
ENSG00000008405	-1.4380550026	1.7008686155004e-11
ENSG00000008441	0.7318246942	9.71017989065368e-10
ENSG00000008516	-1.57971835202544	0.0142749450640375
ENSG00000008517	-1.28884966604708	0.00427730921139734
ENSG00000008735	0.103321987599999	0.0516508311839958
ENSG00000009709	-0.671214564056556	1.59405522583423e-05
ENSG00000009765	-1.10446562611278	1.8786740610377e-06
ENSG00000009844	-1.11728665181284	8.96886119478199e-12
ENSG00000010030	-0.583280969800001	0.0142759508291993
ENSG00000010219	1.0822249778	1.80880999642639e-10
ENSG00000010256	0.743217941800002	8.54826197092073e-10
ENSG00000010278	1.203979758	2.91346796396803e-11
ENSG00000010292	1.22669807943062	9.19272841747818e-10
ENSG00000010319	1.0746559539	0.0345044839158258
ENSG00000010322	-1.1734189604	4.3577677508257e-07
ENSG00000010404	0.561140030845528	1.17712782637874e-07
ENSG00000010610	-1.303027946	3.19265559702767e-10
ENSG00000010704	0.528832477986276	0.0459893599821614
ENSG00000010803	-1.1376966818	5.32364698289229e-11
ENSG00000010818	-1.535099814	8.10060321806782e-10
ENSG00000010932	-1.5460330684	0.00884088648420757
ENSG00000011007	-0.779961160487037	1.1272540596614e-10
ENSG00000011105	0.673714739491422	1.90127015577234e-08
ENSG00000011132	-0.664236576000001	6.92537948479943e-07
ENSG00000011243	-1.4478723726	3.75576698102522e-11
ENSG00000011258	0.542631303290962	3.56049631851234e-09
ENSG00000011304	-0.968388950000001	1.16216387395294e-08
ENSG00000011332	-2.9889034249	0.0750625353497623
ENSG00000011454	0.613320311	0.0656965331567237
ENSG00000011523	2.67786407403467	6.03992485471913e-15
ENSG00000012124	-0.661550283999998	1.19934009416651e-07
ENSG00000012171	-2.0518506582	5.73670468074742e-14
ENSG00000012822	1.2030668042	1.35299547031809e-11
ENSG00000012983	-0.903568728000001	1.85793787922045e-10
ENSG00000013016	1.6969347096	5.81317935966144e-11
ENSG00000013288	1.6026936586	1.05520407560948e-10
ENSG00000013306	0.872622030600004	1.55035135664464e-09
ENSG00000013374	0.756380667800001	7.96118666153252e-09
ENSG00000013441	-2.35183793394145	2.27775241135622e-14
ENSG00000013563	1.3731490774	2.37323214609752e-11
ENSG00000013583	1.554242282	1.63687366915676e-11
ENSG00000013588	-2.1053585674	3.12322848465577e-10
ENSG00000013619	-0.85383057336845	5.30684724287095e-10
ENSG00000013810	-0.803101358200001	5.67170413754097e-09
ENSG00000014138	0.6016150554	7.26400758421663e-06
ENSG00000014216	1.2208380306	5.04144276979868e-09
ENSG00000014641	1.5578946835915	8.94440241757725e-12
ENSG00000014914	-0.871523413399999	5.06905420910226e-08
ENSG00000015475	-0.590953429320584	2.65099947914951e-09
ENSG00000015479	-0.708435019999999	1.99274248990697e-09
ENSG00000015532	0.644339106000001	6.49299363801209e-10
ENSG00000015568	-1.12715932575736	1.90233326574669e-11
ENSG00000015592	0.0299010851000002	0.0230714951022452
ENSG00000016391	-0.705780975422595	6.75319563905949e-06
ENSG00000016602	-0.503073049999998	0.0116546764065012
