logFC	logFC	logFC
ENSG00000000003	1.164814958	1.873654745	1.6136237076
ENSG00000000938	-1.5458820842	-1.059903473	-0.516120517399999
ENSG00000000971	1.65471020380562	1.79228108146216	1.34684890235448
ENSG00000001084	1.5786278928	1.4767021678	1.6329077884
ENSG00000001460	-1.01612837878089	-0.974347357454359	-0.708242926511832
ENSG00000001461	0.609733017996559	0.743960919560004	0.546418959025993
ENSG00000001617	-1.7300270702	-1.3626127596	-1.0591213516
ENSG00000002587	0.847835294199999	2.0315911094	0.5145660286
ENSG00000003436	2.51253561130011	2.80220404816983	3.08163901160144
ENSG00000004059	1.620976688	1.139768484	0.630271131999999
ENSG00000004468	0.931123453400001	1.9351974936	0.978251388800001
ENSG00000004478	-1.23911414629011	-3.09159339594844	-2.04184357573839
ENSG00000004660	-0.794444656679351	-0.924011685434851	-0.757826126803669
ENSG00000004777	-0.851495697336025	-0.688846452681996	-0.515146436509439
ENSG00000004799	5.5924897482	5.091484964	4.6763183776
ENSG00000004961	-0.931316730599998	-1.0607758914	-0.806487718800001
ENSG00000005020	0.8202467562	1.90179663	0.989595794000001
ENSG00000005059	2.1945092174	1.3500701152	-0.544069716
ENSG00000005108	1.7121028118	0.708390064700001	0.5123813012
ENSG00000005156	-1.9058314186	-2.0146353192	-0.990022052300001
ENSG00000005194	-0.56202903792647	-0.528478411662005	-0.621058409063688
ENSG00000005238	-1.94118064143417	-1.94337123384832	-1.20225889042719
ENSG00000005249	1.27513928533121	0.540975208415345	-0.5574273460389
ENSG00000005448	1.5176903236	1.643491667	0.788871901599998
ENSG00000005882	0.875015152599999	1.2933374484	1.1294187366
ENSG00000005893	1.57727405586309	1.57591666268355	1.12974999748563
ENSG00000006015	0.68893825616512	0.82131441892177	0.522590181509118
ENSG00000006016	0.4340155555	1.2793576352	-0.713126068000001
ENSG00000006042	1.2042442922	1.1941518742	0.668501049400001
ENSG00000006125	1.4404480054	1.6495645008	1.3890344332
ENSG00000006210	-1.2537376	-0.6131260512	-0.709957636199998
ENSG00000006327	-2.4645394521	-2.471376013	-2.2009203659
ENSG00000006459	0.706431884115539	0.742754459665117	0.763210314846992
ENSG00000006468	1.09020095916457	1.06743545635352	0.807665845823335
ENSG00000006638	-0.663957731198525	-0.841581122133808	-0.841903476195624
ENSG00000006652	-1.701640018	-1.6635252128	-0.923276266
ENSG00000006704	-2.0818158322	-1.7898063348	-0.633894913599998
ENSG00000006715	0.538951636499999	1.8062998538	1.396306193
ENSG00000006756	0.838820155257789	0.761234841423306	0.824918404886125
ENSG00000007237	-0.0610711910000007	-1.845890968	-0.562934504
ENSG00000007255	2.8057305968	2.9789209962	2.7802089232
ENSG00000007341	-1.33521818462977	-1.19127085451937	-0.622522228390433
ENSG00000008282	1.964245754	1.551000716	1.032420976
ENSG00000008294	-0.771196839971347	-1.1504123994392	-0.72248631599514
ENSG00000008300	-0.7694733326	-1.0452909386	-0.6225507058
ENSG00000008311	1.4240206126	1.654735797	1.6169899184
ENSG00000008382	1.5957893166	1.6943940676	0.919382915599999
ENSG00000008394	1.5854852378	0.829180262000002	-0.585167832
ENSG00000008441	0.552397815	0.7318246942	0.672175840000001
ENSG00000008516	-2.39751330665779	-1.57971835202544	-1.30475617512615
ENSG00000008517	-2.42937084990092	-1.28884966604708	-1.03660525617674
ENSG00000009709	-1.05017630086468	-0.671214564056556	-0.702997125666821
ENSG00000009765	-1.45486943771309	-1.10446562611278	-0.546112090138475
ENSG00000009844	-0.899981184308299	-1.11728665181284	-1.05470934979283
ENSG00000010219	0.564040501000001	1.0822249778	0.6863755276
ENSG00000010278	1.103708198	1.203979758	0.706925206000002
ENSG00000010610	-1.292171488	-1.303027946	-1.14159374
ENSG00000010803	-0.347642384400001	-1.1376966818	-0.6559501912
ENSG00000010932	-0.667993851799999	-1.5460330684	-1.258802105
ENSG00000011243	-1.3741642428	-1.4478723726	-0.766412718199999
ENSG00000011304	-0.0373809359999991	-0.968388950000001	-0.632393364000002
ENSG00000011332	-4.9163582008	-2.9889034249	-3.4551943028
ENSG00000011523	2.61695713940561	2.67786407403467	1.82830269366984
ENSG00000012171	-2.5225034528	-2.0518506582	-1.027406814
ENSG00000012822	0.893036207499999	1.2030668042	1.3681860432
ENSG00000013016	1.0430360847	1.6969347096	1.170567533
ENSG00000013288	1.5344028297	1.6026936586	0.819280371999999
ENSG00000013374	0.612193878799999	0.756380667800001	0.503180215999998
ENSG00000013441	-0.765989610024129	-2.35183793394145	-1.53629309682952
ENSG00000013563	1.1275130602	1.3731490774	0.605249002599999
ENSG00000013583	1.442472484	1.554242282	1.749164504
ENSG00000013588	-1.6958915378	-2.1053585674	-1.1070750972
ENSG00000014138	1.1801889798	0.6016150554	-0.646135917799999
ENSG00000014216	1.0334731198	1.2208380306	0.562074738400001
ENSG00000014641	2.04624442637565	1.5578946835915	0.58299485134508
ENSG00000014914	-0.774821138	-0.871523413399999	-0.626280586999999
ENSG00000016602	0.649472493999998	-0.503073049999998	-0.899523437999999
ENSG00000016864	1.13423466551463	1.43061301654891	0.517861818065412
ENSG00000017260	-0.253735577	-1.4735935526	-0.8188070634
ENSG00000018699	-0.667344965999998	-0.732439286000001	-0.893253468000001
ENSG00000019144	-1.09003030193016	-0.987989131044827	-0.839393276284653
ENSG00000019169	-1.2171970552	-1.037001761	0.609436168600001
ENSG00000020181	0.801517116	1.487812536	2.1921782088
ENSG00000021574	0.996070598200001	0.9554720806	0.5046517434
ENSG00000022567	1.9802357072	2.8841607402	2.465433159
ENSG00000023228	-0.873555906000001	-0.926198345999998	-0.851198596
ENSG00000023287	-0.0750664163000003	0.6863172738	0.988972363
ENSG00000023318	1.4280559108	1.3153312286	0.9628184288
ENSG00000023330	-1.2203931116	-1.1003210062	-0.933910361399998
ENSG00000023445	-2.4789867641	-2.134352021	-1.6904025768
ENSG00000023697	0.847176473999997	0.69213071	0.597726754000002
ENSG00000023902	-1.77553829453667	-1.65299258438049	-0.867202481615419
ENSG00000024422	1.013418394	1.7424537938	1.480134074
ENSG00000024526	2.07552448610469	0.552369991639721	-0.631409181816238
ENSG00000024862	2.1493577072	2.1981116756	1.5157239726
ENSG00000025039	-0.0347069071000006	-0.620523471	-0.522038757800001
ENSG00000025434	0.870390445400002	1.4138897722	2.3554287114
ENSG00000025708	-1.002722518	-1.931260214	-2.43724389
ENSG00000026508	1.2450299296	-0.8146702268	-2.153726978
ENSG00000026559	-1.05878229163193	-1.0603631590903	-0.910054204985536
ENSG00000026751	-0.765589482	-0.763798031400001	-1.1205231444
ENSG00000026950	0.519229328883186	-0.55034916940363	-1.66460937306672
ENSG00000027697	1.318015606	2.2281532134	1.396853536
ENSG00000027847	-3.7504643312	-3.1280160812	-1.7483921275
ENSG00000027869	-0.6971934636	-1.4892413128	-0.141141852899998
ENSG00000028528	0.7426291482	0.883623694399996	1.430743771
ENSG00000030110	-1.0565932828	-0.658949425200002	-0.838492468000002
ENSG00000030582	1.510393528	1.845791788	1.745859008
ENSG00000031698	-2.73860967211371	-2.40658594759293	-1.10932477730107
ENSG00000032444	1.0114685732	1.170942076	0.732738625000001
ENSG00000033050	-0.644642384399999	-0.6590974092	-0.811043097200001
ENSG00000033327	0.733604116799999	0.789983496	0.849603632000002
ENSG00000033867	-0.633848791199999	-0.843465552999998	-1.0363030682
ENSG00000034510	3.5155821746	2.404632508	0.411961797999999
ENSG00000034677	1.0348014862	1.1851857562	0.237057876000001
ENSG00000034713	1.543330812	1.591925284	1.027772024
ENSG00000035664	0.760565179000001	0.9567031226	1.3878558768
ENSG00000035681	-2.326271312	-2.129620034	-1.051283647
ENSG00000035862	1.184255476	1.988810378	1.706271006
ENSG00000037474	-0.929294709999998	-1.393294378	-1.263466382
ENSG00000037757	3.132611279	2.4049523554	1.1108719956
ENSG00000038002	1.6134266108	1.6073042784	1.2054876074
ENSG00000038274	1.51448978599245	1.88278912862048	1.07489227510574
ENSG00000038295	1.0641992031	1.8463111294	1.5252098314
ENSG00000039319	0.8337184964	1.317113892	1.5765841184
ENSG00000039523	-1.782297558	-1.21642197	-0.564410464000001
ENSG00000039560	0.303539461	-0.596500335999999	-0.844631190000002
ENSG00000039650	0.6162316814	1.2481634906	1.0566123282
ENSG00000040633	-1.01141268816217	-0.68553552417288	-0.623752456620372
ENSG00000042286	-0.859149650203904	-0.672453772040377	-0.559560589568584
ENSG00000042493	1.08452720765967	1.28899520619528	0.663944044210919
ENSG00000042832	-3.308806044	-3.4190135564	-1.9472687132
ENSG00000043514	-1.5234600238	-1.1554376086	-0.9389703054
ENSG00000043591	-0.0445328329999992	0.698618885999999	2.339994646
ENSG00000044459	0.558978192472467	0.666165817866617	0.663418023149884
ENSG00000047410	0.550121346146701	0.773455782397765	0.519288080319094
ENSG00000047579	1.17204148569457	1.34949260226147	1.01272547269807
ENSG00000047621	-1.361807991	-1.3100908584	-0.966047049999999
ENSG00000047932	0.575944696000002	0.717729645999998	0.900840585999998
ENSG00000048052	-2.62572223542945	-1.98218081564812	-1.74277197527587
ENSG00000048162	-0.827687831999999	-0.969884540000001	-1.39912835
ENSG00000048392	0.863810231765327	1.11000759511464	0.69158160707771
ENSG00000048740	-1.49274600703428	-1.76213213733078	-0.545919256612831
ENSG00000049089	-1.85844733230225	-1.31977970583111	-0.93589970621277
ENSG00000049130	-3.4416841002	-4.2433964382	-3.6576194014
ENSG00000049239	1.3193219449	1.7605698848	1.3352805608
ENSG00000049245	1.31163018658551	1.22286886460226	0.507941010970079
ENSG00000049249	-1.0285364131	-1.07461747	-1.2590729875
ENSG00000049323	1.98764352140671	1.73972892117829	1.37148424642425
ENSG00000049759	-0.391812940736015	-1.82346791161495	-1.05868721387352
ENSG00000049769	-1.6730949488	-1.7291949844	-0.977466276999999
ENSG00000050130	1.17095965523829	1.18674925016607	0.597255811765675
ENSG00000050344	1.1205180076	1.0763883614	0.507456969
ENSG00000050820	0.55415205615183	0.547642883761788	0.539543378451689
ENSG00000051382	-0.0227133607000009	-0.581950136800002	-0.513127623599999
