ENSEMBLID PScore Mean_Expression
ENSG00000000419 1 13.0052878661687
ENSG00000001561 1 7.55872134926528
ENSG00000002726 0 5.05604609211183
ENSG00000003056 1 8.72492193873763
ENSG00000003096 1 8.48525131909918
ENSG00000003402 0 8.11028328892969
ENSG00000004139 1 7.18422166394241
ENSG00000004766 0 7.16521159643066
ENSG00000004897 1 8.88622151679238
ENSG00000005108 1 10.4415750184207
ENSG00000005206 1 7.20456633368002
ENSG00000005801 1 8.93165418298691
ENSG00000006062 1 9.66458381447335
ENSG00000006459 0 7.11917416958917
ENSG00000006534 1 8.00357583560805
ENSG00000006712 0 10.076956314244
ENSG00000006715 0 7.2639970536548
ENSG00000007080 0 8.75411992826051
ENSG00000007402 1 5.13847521763684
ENSG00000010165 0 9.84081445219554
ENSG00000010256 1 9.40038211316029
ENSG00000011083 1 7.26790289415185
ENSG00000011198 0 9.22810548496345
ENSG00000011295 1 10.7255043977001
ENSG00000011590 1 5.48125625936673
ENSG00000012211 0 5.68796538817087
ENSG00000012817 1 9.27711959615461
ENSG00000014919 1 8.00892191851784
ENSG00000016602 0 6.5967992259086
ENSG00000018236 0 5.45455272841733
ENSG00000020129 0 9.62807804591249
ENSG00000020181 0 6.92885872467862
ENSG00000022976 0 7.42098536179825
ENSG00000023318 1 5.65946852042595
ENSG00000024422 0 8.75122991040493
ENSG00000027697 1 11.8744928423677
ENSG00000028137 0 5.19228744195295
ENSG00000028203 1 8.26417621945143
ENSG00000029534 1 5.8089315839583
ENSG00000029559 0 5.89533003175218
ENSG00000031003 0 8.30093582470157
ENSG00000033178 1 6.22436524532292
ENSG00000035141 1 8.88356818571709
ENSG00000037241 1 10.8757020495704
ENSG00000037965 0 8.59954744942058
ENSG00000038295 1 6.12699272365641
ENSG00000041353 0 9.04670515766367
ENSG00000042317 0 9.24955221222561
ENSG00000042781 1 7.25795705579967
ENSG00000043143 1 8.70819873376951
ENSG00000047249 1 7.91338600023394
ENSG00000047579 0 6.8114130249683
ENSG00000050405 1 11.6746984684604
ENSG00000051009 0 9.22768813117735
ENSG00000052802 1 10.7598015617817
ENSG00000053501 1 10.2846737110049
ENSG00000054967 0 9.86533898732706
ENSG00000055147 1 6.94150740472588
ENSG00000055163 1 8.71376206114247
ENSG00000055211 0 9.10956248891342
ENSG00000056291 1 7.14515499379469
ENSG00000056586 0 7.99803096829263
ENSG00000057608 1 7.18526027209219
ENSG00000057663 1 10.4877809554476
ENSG00000060971 0 9.61074262763528
ENSG00000062582 0 12.7813306598144
ENSG00000063601 1 10.1174139041286
ENSG00000064201 0 5.57536842523365
ENSG00000064393 0 6.67066747403335
ENSG00000064651 1 7.66272416175
ENSG00000064989 0 7.44015002201266
ENSG00000065485 1 7.41683965424376
ENSG00000065609 0 5.31281465537282
ENSG00000066027 0 9.67363008284478
ENSG00000066044 1 9.19025537646178
ENSG00000066248 0 7.04368781130136
ENSG00000066382 1 6.44109697584226
ENSG00000066654 1 8.83948115494092
ENSG00000066739 0 9.33577716161992
ENSG00000067182 0 9.13278785925472
ENSG00000067365 1 7.80024479655444
ENSG00000067715 1 7.14263021727791
ENSG00000068489 1 6.72140628483755
ENSG00000068781 1 5.75075098591177
ENSG00000068784 0 8.63948033521145
ENSG00000069535 1 7.52903200267215
ENSG00000070540 1 9.99879467960623
ENSG00000071054 1 8.15269301843954
ENSG00000072042 0 9.13615485448526
ENSG00000072133 1 6.49796614257949
ENSG00000072401 1 9.51410735155374
ENSG00000072858 1 7.05442840783926
ENSG00000073008 0 8.05966837813313
ENSG00000073169 0 7.57617767785136
ENSG00000073861 0 5.13406122657635
ENSG00000074211 1 9.28663948197706
ENSG00000074370 0 8.41159465799162
ENSG00000075711 0 9.55231017360671
ENSG00000076043 0 9.73478889326865
ENSG00000076382 0 10.1003731091686
ENSG00000076641 1 6.7285870230394
ENSG00000076924 1 8.81280535612959
ENSG00000077238 0 7.40537166400775
ENSG00000077458 0 8.76357752738081
ENSG00000077684 0 7.6115991967762
ENSG00000078098 1 6.8335252536186
ENSG00000078814 0 6.8031150311989
ENSG00000079999 0 10.0166771492256
ENSG00000080573 1 10.659039523483
ENSG00000080823 1 8.50239677653208
ENSG00000081059 0 8.68581024478897
ENSG00000081148 1 7.23382181722711
ENSG00000081479 1 10.4279166452638
ENSG00000082153 0 9.54841104229154
ENSG00000082515 0 12.9036299617744
ENSG00000083814 1 8.39386085890495
ENSG00000083845 0 10.9163025159544
ENSG00000084733 0 11.3183234262615
ENSG00000085433 1 9.69124420967797
ENSG00000086730 0 6.70805299420913
ENSG00000087077 1 11.9604438982573
ENSG00000087510 0 8.85733052837645
ENSG00000088247 1 8.95883315396656
ENSG00000088256 1 8.84507285977688
ENSG00000088782 1 7.20217038704786
ENSG00000088970 1 7.45739788389883
ENSG00000089048 0 8.64035768683372
ENSG00000089063 1 9.62502775778594
ENSG00000089169 0 8.85182219814219
ENSG00000089250 1 6.54332879639742
ENSG00000089351 0 7.3049317848449
ENSG00000089486 1 10.4313796666523
ENSG00000089916 1 7.56417405018303
ENSG00000090273 1 8.38007282216622
ENSG00000090512 1 6.32316062778016
ENSG00000090686 1 7.87840473618521
ENSG00000090924 0 6.35745911781458
ENSG00000091128 1 5.19894040553579
ENSG00000091527 1 10.226106286045
ENSG00000091622 1 8.04797582820423
ENSG00000091640 1 7.03135790180202
ENSG00000091831 0 7.16708912850333
ENSG00000091972 1 4.9151999927891
ENSG00000092010 1 9.07346967592443
ENSG00000092295 1 8.23178954557248
ENSG00000092850 1 5.31277356091974
ENSG00000094796 0 7.04659737703525
ENSG00000095380 0 9.14757470431348
ENSG00000095464 1 4.99163462909621
ENSG00000096006 1 5.63146348958682
ENSG00000096401 0 6.24598153489867
ENSG00000099365 0 6.96277340134939
ENSG00000099797 1 9.92736273471903
ENSG00000099814 0 11.0022676715796
ENSG00000099917 1 10.8066774525878
ENSG00000099953 0 7.77362312227579
ENSG00000100033 1 5.11692100477434
ENSG00000100056 0 7.43157086580344
ENSG00000100099 1 7.88357203651846
ENSG00000100104 0 8.75523005025697
ENSG00000100142 1 9.9890810414513
ENSG00000100221 0 10.3480542719215
ENSG00000100239 1 8.05602521716514
ENSG00000100263 1 9.11146021115712
ENSG00000100294 0 12.2114463962205
ENSG00000100312 1 6.6225108762914
ENSG00000100376 1 7.16873825983568
ENSG00000100416 1 6.88479894337715
ENSG00000100439 1 10.4729736728312
ENSG00000100441 0 8.35096157644653
ENSG00000100554 0 7.84737758976011
ENSG00000100604 1 8.97272921727986
ENSG00000100605 1 7.11494559757942
ENSG00000100731 1 10.9960275047299
ENSG00000100918 1 7.63357583661755
ENSG00000101004 1 5.65270861457935
ENSG00000101076 0 6.4189241922401
ENSG00000101079 0 11.1993620775248
ENSG00000101134 1 5.44906431113773
ENSG00000101182 0 11.3574253076305
ENSG00000101216 0 8.0457337509551
ENSG00000101331 1 7.37654916455668
ENSG00000101425 0 5.8929768023793
ENSG00000102078 1 9.5814978924871
ENSG00000102100 1 7.04494006742536
ENSG00000102225 1 11.3016701756687
ENSG00000102271 0 6.21541593057655
ENSG00000102362 1 6.94868840458256
ENSG00000102780 1 9.21753153815639
ENSG00000102893 1 10.9222702561715
ENSG00000102931 0 10.6910716634369
ENSG00000103018 0 6.1995212974475
ENSG00000103044 0 7.49544299822865
ENSG00000103089 1 11.9306656589079
ENSG00000103152 1 8.29709937245991
ENSG00000103196 0 6.59802603239961
ENSG00000103248 1 8.90102091661585
ENSG00000103266 0 12.5661008694319
ENSG00000103269 0 9.27103062893607
ENSG00000103429 1 10.4341492642405
ENSG00000103449 0 8.37003500561991
ENSG00000103479 0 8.24617423815116
ENSG00000103710 0 5.59156736648489
ENSG00000103740 0 5.47068826036726
ENSG00000104047 0 7.88670099099327
ENSG00000104412 0 10.0071076640627
ENSG00000104499 1 9.83750028550769
ENSG00000104691 1 9.91519725411258
ENSG00000104827 0 5.99714899299475
ENSG00000104835 1 8.92299408655765
ENSG00000104957 1 9.00504114909119
ENSG00000104964 0 9.26362056572864
ENSG00000105197 1 9.28218001560657
ENSG00000105254 1 11.9836546263951
ENSG00000105255 1 7.93413390891624
ENSG00000105287 0 9.34826891177892
ENSG00000105369 0 9.48504371908009
ENSG00000105376 1 6.02626686017319
ENSG00000105393 1 9.07867599249298
ENSG00000105409 0 8.17896031528581
ENSG00000105438 0 7.7562549283328
ENSG00000105447 1 13.0013981167443
ENSG00000105467 0 8.63669206574971
ENSG00000105492 0 7.300361755687
ENSG00000105610 0 9.15690516133066
ENSG00000105647 0 10.1754944016105
ENSG00000105662 1 7.27300773105943
ENSG00000105677 0 11.3345606380834
ENSG00000105679 0 5.45997065935298
ENSG00000105699 0 13.1195455972914
ENSG00000105767 1 9.63620648386255
ENSG00000105953 1 8.18535272271329
ENSG00000105983 1 5.92570949522234
ENSG00000105997 0 10.1988430766757
ENSG00000106012 1 8.85497431760151
ENSG00000106125 1 6.03762894408417
ENSG00000106128 0 8.33159576797267
ENSG00000106144 1 7.06577546010537
ENSG00000106245 1 9.20719810161902
ENSG00000106304 1 6.72600523338176
ENSG00000106367 0 7.30395617091069
ENSG00000106588 0 10.1514804715462
ENSG00000106868 1 9.69244520097843
ENSG00000107036 0 7.85634643313765
ENSG00000107130 1 6.45145144699582
ENSG00000107186 0 6.05692981279476
ENSG00000107223 1 13.1808148691518
ENSG00000107295 1 4.98634096092713
ENSG00000107371 0 10.0405645948999
ENSG00000107758 1 8.93415364460721
ENSG00000107815 0 6.43960208904258
ENSG00000107863 1 8.79498829789806
ENSG00000107929 1 11.4322726336019
ENSG00000108395 0 8.85775344074045
ENSG00000108506 1 6.22219098728426
ENSG00000108509 1 8.20062796122861
ENSG00000108576 0 6.69946528303796
ENSG00000108639 1 8.87600158592027
ENSG00000108861 0 8.58372136895881
ENSG00000109062 0 8.56846879550705
ENSG00000109066 1 7.40038864862522
ENSG00000109270 0 8.6081006057717
ENSG00000109610 0 8.99670067983953
ENSG00000109667 1 6.48681964345795
ENSG00000109686 0 11.016556198829
ENSG00000109762 1 8.58183619617902
ENSG00000109819 1 11.0039707605318
ENSG00000110031 1 8.02712534260613
ENSG00000110203 1 7.38234464604119
ENSG00000110436 0 5.21975495418264
ENSG00000110651 0 12.035902085927
