ENSEMBLID	X12h
ENSG00000000005	ENSG00000000005	-0.110586112441735
ENSG00000000460	ENSG00000000460	-0.0823549921687651
ENSG00000000938	ENSG00000000938	-0.0613348141908686
ENSG00000000971	ENSG00000000971	-0.042645751285912
ENSG00000001084	ENSG00000001084	-0.0518224158898756
ENSG00000001167	ENSG00000001167	-0.209260712739709
ENSG00000001497	ENSG00000001497	0.0714149379808502
ENSG00000001561	ENSG00000001561	0.039768803317877
ENSG00000001626	ENSG00000001626	0.0539320588185109
ENSG00000001629	ENSG00000001629	0.0991238287108003
ENSG00000001630	ENSG00000001630	-0.0200827553044295
ENSG00000002549	ENSG00000002549	0.106502700876988
ENSG00000002587	ENSG00000002587	0.301190536000087
ENSG00000002726	ENSG00000002726	-0.201120466444946
ENSG00000002745	ENSG00000002745	-0.0419869452102765
ENSG00000002834	ENSG00000002834	0.657750401349002
ENSG00000002933	ENSG00000002933	-0.605652560181272
ENSG00000003056	ENSG00000003056	0.105085888370885
ENSG00000003096	ENSG00000003096	0.0890273112619078
ENSG00000003393	ENSG00000003393	0.394329399193796
ENSG00000003400	ENSG00000003400	0.519053980357964
ENSG00000003402	ENSG00000003402	-0.452138428094104
ENSG00000003436	ENSG00000003436	0.277098296247896
ENSG00000003509	ENSG00000003509	0.150221715889196
ENSG00000004059	ENSG00000004059	-0.381701656408123
ENSG00000004139	ENSG00000004139	-0.590902548007654
ENSG00000004455	ENSG00000004455	0.37704242602421
ENSG00000004468	ENSG00000004468	0.897855077082379
ENSG00000004660	ENSG00000004660	0.0978373822477166
ENSG00000004700	ENSG00000004700	-0.517892061336183
ENSG00000004766	ENSG00000004766	0.588517907882144
ENSG00000004776	ENSG00000004776	-0.342258930079327
ENSG00000004809	ENSG00000004809	0.0806956065948468
ENSG00000004838	ENSG00000004838	-0.145032702845926
ENSG00000004846	ENSG00000004846	0.150888166951564
ENSG00000004848	ENSG00000004848	-0.0836668494151006
ENSG00000004961	ENSG00000004961	0.00576608367761929
ENSG00000004975	ENSG00000004975	-0.0682129700892142
ENSG00000005001	ENSG00000005001	0.0450211010696527
ENSG00000005020	ENSG00000005020	0.051899577584023
ENSG00000005075	ENSG00000005075	0.455596155143677
ENSG00000005100	ENSG00000005100	-0.231230493081422
ENSG00000005102	ENSG00000005102	-0.0820082055467578
ENSG00000005108	ENSG00000005108	0.0752510458989448
ENSG00000005206	ENSG00000005206	-0.0866787934117446
ENSG00000005238	ENSG00000005238	-0.0144609204255509
ENSG00000005243	ENSG00000005243	0.0233170678373262
ENSG00000005249	ENSG00000005249	0.0980540075161451
ENSG00000005421	ENSG00000005421	-0.0742447496401549
ENSG00000005448	ENSG00000005448	-0.045829256639804
ENSG00000005469	ENSG00000005469	-0.199996125147308
ENSG00000005513	ENSG00000005513	0.0315329148584998
ENSG00000005700	ENSG00000005700	-0.0129754285067269
ENSG00000005801	ENSG00000005801	-0.017550624963157
ENSG00000005810	ENSG00000005810	0.00760663094970315
ENSG00000005889	ENSG00000005889	-0.00926475418220019
ENSG00000005961	ENSG00000005961	-0.0424760037723801
ENSG00000006007	ENSG00000006007	-0.0155642772880939
ENSG00000006025	ENSG00000006025	-0.0601670211284366
ENSG00000006042	ENSG00000006042	-0.0782824718606365
ENSG00000006059	ENSG00000006059	-0.0815844642207937
ENSG00000006062	ENSG00000006062	-0.114803525824557
ENSG00000006071	ENSG00000006071	0.0410361387242064
ENSG00000006125	ENSG00000006125	-0.0504189677487655
ENSG00000006128	ENSG00000006128	-0.051747796217129
ENSG00000006194	ENSG00000006194	0.0199610568121808
ENSG00000006282	ENSG00000006282	-0.0385709665632386
ENSG00000006283	ENSG00000006283	-0.0375758736421261
ENSG00000006432	ENSG00000006432	0.426299284283912
ENSG00000006451	ENSG00000006451	0.494377457373607
ENSG00000006453	ENSG00000006453	0.376941783084066
ENSG00000006459	ENSG00000006459	-0.36292511881147
ENSG00000006468	ENSG00000006468	0.136473786369367
ENSG00000006576	ENSG00000006576	-0.128351209644984
ENSG00000006606	ENSG00000006606	-0.241111834750501
ENSG00000006607	ENSG00000006607	-0.0872076862527447
ENSG00000006625	ENSG00000006625	-0.075542904385878
ENSG00000006634	ENSG00000006634	-0.109539486226895
ENSG00000006659	ENSG00000006659	0.0879626010726347
ENSG00000006695	ENSG00000006695	-0.000675243312131535
ENSG00000006704	ENSG00000006704	-0.0787760930056679
ENSG00000006715	ENSG00000006715	-0.00569732081217496
ENSG00000006757	ENSG00000006757	0.345634946300522
ENSG00000006788	ENSG00000006788	-0.0521477038480939
ENSG00000006831	ENSG00000006831	0.00449702308499263
ENSG00000007080	ENSG00000007080	-0.00527576090188534
ENSG00000007129	ENSG00000007129	-0.0485965475384553
ENSG00000007168	ENSG00000007168	0.0694821034411947
ENSG00000007171	ENSG00000007171	0.00121821426611775
ENSG00000007237	ENSG00000007237	-0.044949595239563
ENSG00000007306	ENSG00000007306	-0.212973670349794
ENSG00000007312	ENSG00000007312	-0.0141342761214374
ENSG00000007376	ENSG00000007376	-0.353281625291848
ENSG00000007384	ENSG00000007384	0.308395338889085
ENSG00000007392	ENSG00000007392	0.30300671389875
ENSG00000007402	ENSG00000007402	0.300441944746584
ENSG00000007516	ENSG00000007516	0.0385091892036525
ENSG00000007545	ENSG00000007545	-0.790922000657273
ENSG00000007866	ENSG00000007866	-0.536763984768816
ENSG00000007908	ENSG00000007908	0.259043564427497
ENSG00000007923	ENSG00000007923	-0.291771852441965
ENSG00000007933	ENSG00000007933	-0.337328912553599
ENSG00000008018	ENSG00000008018	0.0929025682473507
ENSG00000008056	ENSG00000008056	0.17346540930245
ENSG00000008118	ENSG00000008118	-0.160404043398617
ENSG00000008128	ENSG00000008128	-0.178537112273484
ENSG00000008197	ENSG00000008197	0.0597086142253277
ENSG00000008226	ENSG00000008226	0.192875551352794
ENSG00000008256	ENSG00000008256	-0.357502237428672
ENSG00000008282	ENSG00000008282	0.175621214220295
ENSG00000008311	ENSG00000008311	0.366413265068643
ENSG00000008323	ENSG00000008323	0.46928143136571
ENSG00000008382	ENSG00000008382	0.289334051635178
ENSG00000008394	ENSG00000008394	0.00642251799467708
ENSG00000008405	ENSG00000008405	-0.282436492826722
ENSG00000008513	ENSG00000008513	-0.0350822344150353
ENSG00000008516	ENSG00000008516	0.125541156439324
ENSG00000008710	ENSG00000008710	0.385351129489335
ENSG00000008735	ENSG00000008735	-0.261553572970913
ENSG00000008988	ENSG00000008988	-0.150973259888621
ENSG00000009307	ENSG00000009307	-0.196114180270293
ENSG00000009335	ENSG00000009335	0.614767490102182
ENSG00000009413	ENSG00000009413	0.0123752597012814
ENSG00000009765	ENSG00000009765	-0.0928241272945642
ENSG00000009780	ENSG00000009780	0.0702215456207123
ENSG00000009790	ENSG00000009790	-0.0189417474501168
ENSG00000009950	ENSG00000009950	0.000378267101286115
ENSG00000010030	ENSG00000010030	0.0104534734779268
ENSG00000010072	ENSG00000010072	-0.0726142148498899
ENSG00000010244	ENSG00000010244	0.0696700191482128
ENSG00000010256	ENSG00000010256	-0.122729995983287
ENSG00000010282	ENSG00000010282	-0.341746920501026
ENSG00000010292	ENSG00000010292	0.198473333176575
ENSG00000010295	ENSG00000010295	-0.240764802799306
ENSG00000010318	ENSG00000010318	0.240276200207708
ENSG00000010319	ENSG00000010319	-0.337526332787363
ENSG00000010361	ENSG00000010361	-0.0188791334751945
ENSG00000010379	ENSG00000010379	-0.0684358355389643
ENSG00000010404	ENSG00000010404	-0.0232654630385539
ENSG00000010438	ENSG00000010438	0.0353718614316859
ENSG00000010539	ENSG00000010539	-0.0506856972605675
ENSG00000010704	ENSG00000010704	-0.123969604644272
ENSG00000010803	ENSG00000010803	-0.0614539221084727
ENSG00000010810	ENSG00000010810	0.00677048173066138
ENSG00000010932	ENSG00000010932	-0.00627906919210552
ENSG00000011007	ENSG00000011007	-0.11703485965144
ENSG00000011028	ENSG00000011028	0.136746489314354
ENSG00000011083	ENSG00000011083	-0.123326909795637
ENSG00000011105	ENSG00000011105	-0.23735712650741
ENSG00000011132	ENSG00000011132	-0.165519300477837
ENSG00000011143	ENSG00000011143	-0.091883345554541
ENSG00000011243	ENSG00000011243	0.0173770906401816
ENSG00000011258	ENSG00000011258	-0.040707824750411
ENSG00000011275	ENSG00000011275	-0.0928738497730747
ENSG00000011295	ENSG00000011295	-0.117231326088261
ENSG00000011304	ENSG00000011304	-0.148545283529894
ENSG00000011376	ENSG00000011376	-0.0454276386234961
ENSG00000011405	ENSG00000011405	-0.305876690166044
ENSG00000011422	ENSG00000011422	0.0293434361159015
ENSG00000011426	ENSG00000011426	-0.256437068467582
ENSG00000011451	ENSG00000011451	-0.130743756837785
ENSG00000011523	ENSG00000011523	-0.185626098709622
ENSG00000011566	ENSG00000011566	0.0817330098450106
ENSG00000011638	ENSG00000011638	-0.0839523369581231
ENSG00000012061	ENSG00000012061	0.0633739286494806
ENSG00000012124	ENSG00000012124	0.103439988446118
ENSG00000012171	ENSG00000012171	-0.162332417189053
ENSG00000012211	ENSG00000012211	-0.0333923598448225
ENSG00000012779	ENSG00000012779	-0.114969083318824
ENSG00000012817	ENSG00000012817	0.153720267446266
ENSG00000012822	ENSG00000012822	-0.106592056057908
ENSG00000012963	ENSG00000012963	-0.0855470758076044
ENSG00000013288	ENSG00000013288	0.0428133983625244
ENSG00000013293	ENSG00000013293	0.0856168728177842
ENSG00000013297	ENSG00000013297	0.0861985472905443
ENSG00000013364	ENSG00000013364	-0.0629928326674826
ENSG00000013441	ENSG00000013441	0.0631659866893663
ENSG00000013503	ENSG00000013503	-0.0893518673658598
ENSG00000013523	ENSG00000013523	0.116524700853673
ENSG00000013561	ENSG00000013561	-0.407042800551947
ENSG00000013563	ENSG00000013563	-0.388899731220504
ENSG00000013619	ENSG00000013619	0.0234569613273283
ENSG00000013725	ENSG00000013725	0.0183732545448626
ENSG00000014138	ENSG00000014138	-0.0184219661616047
ENSG00000014164	ENSG00000014164	0.12179127226303
ENSG00000014641	ENSG00000014641	0.0724241628399778
ENSG00000014824	ENSG00000014824	-0.310550673995563
ENSG00000014919	ENSG00000014919	-0.486230735949179
ENSG00000015133	ENSG00000015133	-0.384860598883689
ENSG00000015153	ENSG00000015153	-0.112015083719266
ENSG00000015413	ENSG00000015413	-0.104264409103482
ENSG00000015475	ENSG00000015475	0.0862077393556125
ENSG00000015479	ENSG00000015479	-0.0780738330430359
ENSG00000015532	ENSG00000015532	0.092538209100588
ENSG00000016391	ENSG00000016391	0.00650690840388624
ENSG00000016402	ENSG00000016402	-0.0424251082908601
ENSG00000016490	ENSG00000016490	-0.0435015763517335
ENSG00000016602	ENSG00000016602	0.0399566255772431
ENSG00000018189	ENSG00000018189	0.00123058333276186
ENSG00000018236	ENSG00000018236	0.000645607479915119
ENSG00000018280	ENSG00000018280	0.00195766310333519
ENSG00000018408	ENSG00000018408	-0.00523121310542477
ENSG00000018625	ENSG00000018625	-0.0310950636867927
ENSG00000018699	ENSG00000018699	-0.00196905913311311
ENSG00000019144	ENSG00000019144	0.0473962403648069
