baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000125144.13	154.869417745618	7.34194904300884	0.769986856867463	9.53516151285762	1.49652434520074e-21	2.61607610218002e-19	Significant
ENSG00000169715.14	22.0955653084435	4.49160462903454	0.982552248106186	4.57136466553494	4.84558190788948e-06	0.000129184336192961	Significant
ENSG00000198417.7	107.665383872551	3.48855161311762	0.374014833148792	9.32730818119662	1.0859374626332e-20	1.68503329876006e-18	Significant
ENSG00000125148.7	42.6304267906911	3.25082609407076	0.583495816735821	5.5712928881932	2.5285583097247e-08	1.05816334113024e-06	Significant
ENSG00000242550.6	87.0465436789509	3.23407352087846	0.415320894846612	7.78692707496185	6.86585528852293e-15	5.78155253259156e-13	Significant
ENSG00000239183.1	32.7418364562895	3.15071057083124	0.833605069978703	3.77962021141706	0.000157067749366757	0.00268742019846395	Significant
ENSG00000281156.1	32.2433610110106	3.12610516541337	0.834009834387236	3.7482833373424	0.00017804905039259	0.00296605233524929	Significant
ENSG00000196611.5	65.2604411263902	3.07797418861546	0.456025817291195	6.74956125707685	1.48292891802163e-11	9.18351944299492e-10	Significant
ENSG00000264940.4	71.3905011647843	3.05994873601555	0.496106950459651	6.16792152010864	6.91934689442745e-10	3.68942782285881e-08	Significant
ENSG00000197632.9	359.212346622609	3.0442331955129	0.217996485622624	13.9645975797188	2.56349296227838e-44	2.72321829300496e-41	Significant
ENSG00000125538.11	31.8214447963046	2.87905481348085	0.621507469922885	4.63237362832997	3.61496996239094e-06	9.86615319775076e-05	Significant
ENSG00000005108.16	877.492818672474	2.7676128587914	0.164226334221222	16.8524303481272	1.00690342306704e-63	1.73816703406948e-60	Significant
ENSG00000183287.14	27.5366722485693	2.74603480572493	0.661489302901591	4.15129132652574	3.30604616219331e-05	0.00071226985179235	Significant
ENSG00000056291.17	25.6163054540223	2.73451769193367	0.704667569515937	3.88057831838652	0.000104208380976556	0.00189857221805573	Significant
ENSG00000140465.14	101.29941014962	2.69358127233061	0.351657119882463	7.65968075161083	1.86395842964217e-14	1.49658522752084e-12	Significant
ENSG00000187398.12	161.952536587695	2.61112329378527	0.285804484755069	9.13604730878514	6.47767083285722e-20	9.41648781071139e-18	Significant
ENSG00000200394.1	19.7510518733313	2.57590847435705	0.903917149367369	2.8497174504985	0.00437580826754299	0.0415897537334953	Significant
ENSG00000204983.14	20.0731462217047	2.44340054196495	0.766296204336081	3.18858494683777	0.00142970995923679	0.0171102474179561	Significant
ENSG00000277586.2	186.089194608808	2.42829614553682	0.27757388759931	8.74828740750343	2.16614990486421e-18	2.76986390612729e-16	Significant
ENSG00000135636.14	27.1230562956366	2.42140644455666	0.64935016296949	3.72896871771545	0.000192265015678625	0.00316847239441744	Significant
ENSG00000134757.5	38.5064160915284	2.38393997370385	0.543017851503914	4.39016869721947	1.13262757808358e-05	0.000276353124617213	Significant
ENSG00000277947.1	28.038554599694	2.36328452883891	0.742386815813879	3.18336004694269	0.00145576469633644	0.0173012998764254	Significant
ENSG00000281000.1	28.038554599694	2.36328452883891	0.742386815813879	3.18336004694269	0.00145576469633644	0.0173012998764254	Significant
ENSG00000136999.5	187.975017234794	2.33490851016633	0.28371684082518	8.22971418748122	1.87660661662098e-16	1.96332858905574e-14	Significant
ENSG00000135549.15	603.633171865175	2.33330969075029	0.186766415926528	12.4931973405122	8.13186557806206e-36	5.61505318165185e-33	Significant
ENSG00000120833.14	70.2467685983729	2.30339208303063	0.414493431946688	5.55712565145518	2.74253339002843e-08	1.14079476253893e-06	Significant
ENSG00000136542.9	2530.67214962428	2.27148090690357	0.117773581301189	19.286845842741	6.92727360941879e-83	4.78328242730367e-79	Significant
