baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000141738.14	4342.48950857783	0.897747965322388	0.0967876395152935	9.27544022995348	1.76887050661878e-20	3.56781181185007e-17	Significant
ENSG00000196730.13	1086.37533828286	0.763845310578508	0.123770073445084	6.17148628353541	6.76510011615346e-10	1.94931527632593e-07	Significant
ENSG00000270066.3	1168.72632673502	0.625493406308662	0.296027891210028	2.1129543022177	0.0346046793860237	0.253809593896763	Not
ENSG00000278249.1	1168.72632673502	0.625493406308662	0.296027891210028	2.1129543022177	0.0346046793860237	0.253809593896763	Not
ENSG00000277209.1	78169.5142013525	0.595579893194302	0.244236897303548	2.43853365224375	0.0147469855455053	0.161685128402735	Not
ENSG00000259001.3	78169.8596511721	0.595563886340537	0.244236896885684	2.43846811818647	0.0147496597055544	0.161685128402735	Not
ENSG00000274012.1	143665.59031677	0.579352887071382	0.108230898921908	5.35293426223321	8.65392949669519e-08	1.81774678976137e-05	Significant
ENSG00000276168.1	305095.119833345	0.578716810681866	0.199750936666374	2.8971919748664	0.00376519276174843	0.0767110484893594	Not
ENSG00000065361.15	1289.61581798957	0.531462135966807	0.116198044879932	4.57376143046097	4.79045282279457e-06	0.000483117167178832	Significant
ENSG00000147889.17	1906.90300042865	0.489394895888833	0.120707298278771	4.05439358570173	5.02645252885742e-05	0.00337945158356847	Significant
ENSG00000160932.11	1272.49660001871	0.484566420650704	0.147504728138006	3.28509076805553	0.00101949522544982	0.032130029214567	Significant
ENSG00000130193.8	1275.78044975075	0.467076054635349	0.128858448634388	3.6247220076395	0.000289272438090539	0.0126839675571439	Significant
ENSG00000157601.14	2190.52456537781	0.462669494300102	0.103970336584632	4.45001439351394	8.58645345396512e-06	0.000752994635506419	Significant
ENSG00000179632.10	966.035577771741	0.455262079747749	0.130481206834462	3.48910077391702	0.000484648401094952	0.0188906419290801	Significant
ENSG00000128335.14	1032.93285511378	0.451551037614253	0.131739891755855	3.42759532891588	0.000608952457755859	0.0220228078067076	Significant
ENSG00000051523.11	2010.27573309964	0.422844881803913	0.112502494868671	3.75853781996138	0.000170909207854145	0.008407899322971	Significant
ENSG00000105701.16	1325.03298630889	0.422444093538901	0.140799344589773	3.00032713056808	0.00269689789948416	0.0611195849804445	Not
ENSG00000130787.14	1693.60056714892	0.42131808993281	0.110454176356058	3.81441520667047	0.00013650579573297	0.00724558394719475	Significant
ENSG00000222328.1	1271.4158973493	0.420973162524876	0.149721469181874	2.81170873372543	0.00492791048954862	0.0871894338370137	Not
ENSG00000073111.14	2549.13952177094	0.400171939450955	0.110760481522998	3.61294871553864	0.000302734596680068	0.012991823010717	Significant
ENSG00000106153.13	3689.05924644607	0.399252459681348	0.109781160562468	3.6368030510496	0.000276042830706815	0.0123728531007921	Significant
