baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000125144.13	86.2393474133651	3.38789320430027	0.459344295985306	7.37549858332983	1.63731141133696e-13	6.42486074743231e-12	Significant
ENSG00000173175.14	7.71703064172505	3.1282303466119	1.45158329998499	2.15504707628163	0.0311581505295332	0.165674955861867	Not
ENSG00000131746.13	13.4517581530644	2.90672388744607	1.07585173950693	2.70178852783028	0.0068967612213219	0.0528693669394217	Not
ENSG00000273305.1	12.3069651858355	2.7593643665441	1.06193676414876	2.5984262525801	0.00936521594049665	0.0672753875460654	Not
ENSG00000249863.2	7.93370048202168	2.50645097043406	1.32026863088186	1.89844014453324	0.0576381255642789	0.254741727246548	Not
ENSG00000187957.8	7.74265951511182	2.46307130995463	1.28518929974738	1.91650468179183	0.0553008878530305	0.247290719356926	Not
ENSG00000285531.1	7.71012754430781	2.45786152603479	1.28820590107605	1.9079725717618	0.0563947614106841	0.250339329664615	Not
ENSG00000162755.14	7.59392676858124	2.42978422143322	1.2922434579084	1.88028363120215	0.0600694329439556	0.261985907724733	Not
ENSG00000185818.7	9.92538703111	2.39627075022858	1.14121817452523	2.0997481495819	0.0357510015591272	0.182615105844906	Not
ENSG00000143786.8	7.38198429067885	2.38381520729484	1.30605788187365	1.82519874530755	0.0679710430899038	0.285376903611634	Not
ENSG00000182557.8	9.76131540429552	2.36772492777818	1.14562672134513	2.06675078685153	0.0387576429112701	0.194120569014033	Not
ENSG00000116661.11	14.4251425037533	2.34233304998964	0.935146789416835	2.50477580257783	0.0122529033874608	0.0834032231474587	Not
ENSG00000141519.15	14.1467243114484	2.30683855776523	0.942592013378611	2.4473351407855	0.0143916947528869	0.0945035201302507	Not
ENSG00000141337.12	8.89494062937143	2.20773118706318	1.17304762170037	1.88204736638313	0.059829584734985	0.261459589578556	Not
ENSG00000227896.2	8.85263240899214	2.19802306734237	1.18038332775447	1.86212649370763	0.0625852623893476	0.269928939120884	Not
ENSG00000137691.13	8.80756340397644	2.18904790451693	1.17915263517767	1.85645847637622	0.0633882363793177	0.271924790298395	Not
ENSG00000261175.6	8.80941761421265	2.18826952088314	1.16627306666433	1.87629259684598	0.060615113050665	0.263678346258206	Not
ENSG00000179859.9	8.74620788284085	2.17795589973201	1.17867150089225	1.84780568469104	0.0646304582586734	0.275696106493319	Not
ENSG00000139800.8	13.0800375184334	2.17355414448934	0.985782406753459	2.20490255212369	0.0274609333938258	0.151754634104308	Not
ENSG00000245526.10	8.55331270569477	2.13828260856971	1.17734304418942	1.81619335088685	0.0693407176957597	0.288495380528166	Not
ENSG00000104808.8	8.43525771973199	2.11283986224465	1.17848303818936	1.79284707015456	0.072997380682646	0.299362199040416	Not
ENSG00000175928.5	16.5019592371277	2.07223575510882	0.890450386410167	2.3271771080509	0.0199558408866265	0.120688729472047	Not
