gene_id	Calu3_totalRNA-S1-4h-A	Calu3_totalRNA-S1-4h-B	Calu3_totalRNA-S1-12h-A	Calu3_totalRNA-S1-12h-B	Calu3_totalRNA-S1-24h-A	Calu3_totalRNA-S1-24h-B	Calu3_totalRNA-S2-4h-A	Calu3_totalRNA-S2-4h-B	Calu3_totalRNA-S2-12h-A	Calu3_totalRNA-S2-12h-B	Calu3_totalRNA-S2-24h-A	Calu3_totalRNA-S2-24h-B	Calu3_totalRNA-mock-4h-A	Calu3_totalRNA-mock-4h-B	Calu3_totalRNA-mock-24h-A	Calu3_totalRNA-mock-24h-B	Calu3_totalRNA-untr-4h-A	Calu3_totalRNA-untr-4h-B
ENSG00000000003.14	526	985	305	265	147	135	805	822	252	277	192	276	825	1108	1151	1130	645	1046
ENSG00000000005.6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000000419.12	499	815	347	237	126	148	764	681	262	239.5	233	375	677	863	913	841	433	774
ENSG00000000457.14	156	236	134	95	96	75	250	213	107	99	102	106	213	190	255	229	188	253
ENSG00000000460.17	278	372	267	241	122	132	354	365	242	231	226	312	338	360	674	750	323	423
ENSG00000000938.13	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	1
ENSG00000000971.15	66	123	95	94	158	172	102	89	305	219	393	613	113	137	270	228	98	104.5
ENSG00000001036.13	186	354	123	72	27	46	317	238	112	90	111	103	246	323	299	301	239	274
ENSG00000001084.12	352.5	633	240.5	181	134.5	132	602.5	555	193	181	190	272	521	575	518.5	524	467	689
ENSG00000001167.14	438.5	746	283	243	135	116	849	677	247	252	214	267	633	588.5	645.5	578	572	740
ENSG00000001460.18	48	75	36	31	23	15	82	80	31	36	31	34	61	61	90	84	70	87
ENSG00000001461.17	241	426	179	159	59	51	466	373	124	129	81	121	392	411	537	540	374	487
ENSG00000001497.16	455	790	392	299	169	165	773	680	319	322	301	353	703	826	969	835	623	806
ENSG00000001561.7	278	528	277	134	107	88	433	410	207	172	132	180	389	472	548	584	317	526
ENSG00000001617.12	11	18	6	5	2	4	16	13	2	4	4	3	4	17	20	19	24	12
ENSG00000001626.15	4657	7958	2158	1732	1020	1080	6926	6310	1332	1388	919	1316	7142	6998	7603	7092	5684	8311
ENSG00000001629.10	524	1020	448	403	280	266	943	897	587	500	447	577	822	762	1024	1038	747	983
ENSG00000001630.17	361.17	630	262.33	189.5	152.83	140	561.17	495.67	170.33	158	117.17	196.33	544.83	568.17	1059	898.33	410.83	603.5
ENSG00000001631.15	90.5	150	72.5	49	49	46.5	106.5	155.5	81	62.5	61	92	123.5	120.5	166	192.5	98.5	138.5
ENSG00000002016.17	55	108.5	55	48.5	41	38	111	84	69	57	70.5	70	81	78	102.5	85	79.5	137
ENSG00000002079.14	27	26	5	15	4	2	39	39	5	5	10	4	31	31	11	12	31	58
