mock_slope	mock_yInt	cov1_slope	cov1_yInt	cov2_slope	cov2_yInt
ENSG00000000003.14	0.0054027259038904	-0.0216109036155616	-0.0240665203820827	0.0276472827493603	-0.0284201054311346	0.0937265839006346
ENSG00000000005.6	0	0	0	0	0	0
ENSG00000000419.12	0.0026878515556239	-0.0107514062224956	-0.0179297514470638	0.0598666802508353	-0.000419552410698505	-0.0660057235009476
ENSG00000000457.14	0.0059472823566529	-0.0237891294266116	0.0347357762802286	-0.164432701315479	0.00401176386789311	0.0384118112500425
ENSG00000000460.17	0.0446583674305674	-0.17863346972227	0.0227163677493224	0.074993768542526	0.0376442287610333	0.0124692667855657
ENSG00000000938.13	0	0	0	0	0	0
ENSG00000000971.15	0.0428229945372163	-0.171291978148865	0.136447206506362	-0.566601230185881	0.171942702799096	-0.153470643601989
ENSG00000001036.13	-0.00274851569370119	0.0109940627748048	-0.0473811991815308	0.160157001298849	-0.00500963657939181	-0.00569231884049356
ENSG00000001084.12	-0.0104740637159011	0.0418962548636044	0.00262848329934224	-0.0971644345577482	-0.00329405056656691	-0.0841712311900399
ENSG00000001167.14	-0.00710955951955355	0.0284382380782142	-0.0166802859438579	0.0583538259945697	-0.0206096115509013	0.0450070616414865
ENSG00000001460.18	0.0185634908199391	-0.0742539632797565	0.00575841947855627	0.00658105083263577	-0.00430659175257536	0.0557021069069905
ENSG00000001461.17	0.0142662376751792	-0.057064950700717	-0.036754196167112	0.272964936200437	-0.0409958809976175	0.143826657351303
ENSG00000001497.16	0.00503155701423665	-0.0201262280569466	-0.000627903770730704	0.0650220047813101	0.00371121211046858	0.0356026867005864
ENSG00000001561.7	0.0131112243453875	-0.05244489738155	-0.00676723455111817	0.0576478941580377	-0.0120182433107081	0.155017876274511
ENSG00000001617.12	0	0	0	0	0	0
ENSG00000001626.15	-0.00434647258745157	0.0173858903498063	-0.0313867467578626	-0.0374488933737643	-0.0643511110146526	0.0983431407636695
ENSG00000001629.10	0.0119222549411461	-0.0476890197645844	0.021152196347101	-0.0805836858780593	0.016569326649605	0.102594771074717
ENSG00000001630.17	0.0336736479446638	-0.134694591778655	0.00842738241438675	-0.10655526966954	-0.0260886307172256	0.0543088435789929
ENSG00000001631.15	0.0210808068660574	-0.0843232274642298	0.029576686706001	-0.203034692335989	0.020026655281567	0.0327608240396838
ENSG00000002016.17	0.00448579966866738	-0.0179431986746695	0.0437774223117455	-0.165936270813704	0.0363922023387475	0.0148100330037822
ENSG00000002079.14	-0.0784698571240495	0.313879428496198	-0.0195098487816217	-0.022296970036139	-0.0747268226173962	-0.0854020829913103
ENSG00000002330.13	-0.00579703653532405	0.0231881461412962	-0.0354820510070876	0.326098348388379	-0.0247506987266465	0.113175737791059
ENSG00000002549.12	-0.00515989823345815	0.0206395929338326	0.0806718436897465	-0.391530018071057	0.101821504146146	-0.0433867767501731
ENSG00000002586.20	-0.00410308235720045	0.0164123294288018	-0.0183117286923122	0.149713985024799	-0.0122765372712561	0.00900032995867559
ENSG00000002587.10	-0.0260489389293628	0.104195755717451	-0.0249000424843048	0.141744958802963	-0.00319295215716062	0.13762091796184
ENSG00000002726.20	0	0	0	0	0	0
ENSG00000002745.13	0	0	0	0	0	0
ENSG00000002746.15	0	0	0	0	0	0
ENSG00000002822.15	-0.0082790265820841	0.0331161063283364	-0.014748061867471	0.0498924686122677	-0.0154607669081412	0.156791719916856
ENSG00000002834.18	0.0164211798296507	-0.0656847193186029	-0.0205292326274207	0.153369905039797	-0.0343302254603304	0.18230327352967
ENSG00000002919.14	0.00453984720289836	-0.0181593888115934	0.00855009940813806	0.0267761325984986	0.0213014441389906	-0.129014260244029
ENSG00000002933.9	0	0	0	0	0	0
ENSG00000003056.8	-0.008117917951529	0.032471671806116	-0.00579322719674953	-0.0262136707910486	-0.00610552649114139	-0.0107929589639669
ENSG00000003096.14	0	0	0	0	0	0
ENSG00000003137.8	0	0	0	0	0	0
ENSG00000003147.19	-0.0106688943920038	0.0426755775680152	-0.0261082473299497	0.169391733082007	-0.0268192601289215	0.0623287176280146
ENSG00000003249.13	-0.0309374996451076	0.12374999858043	-0.0672425296958323	0.267704361979303	-0.0490412050324626	0.215384640868126
ENSG00000003393.15	-0.00917255352990305	0.0366902141196122	0.0224627786980859	-0.122634540641276	0.0104799077270489	-0.104202133424252
ENSG00000003400.14	0.0297344643342744	-0.118937857337097	0.040472826418201	-0.0215483762829284	0.0655556198562541	0.082670626829078
ENSG00000003402.20	-0.0138664335741938	0.0554657342967754	0.023776682295887	-0.152146010327443	0.0379816344684155	0.0067674240098151
ENSG00000003436.16	-0.0345757972854268	0.138303189141707	-0.049739977641034	0.0162637942068751	-0.0652158368372438	0.214872604774722
ENSG00000003509.16	0.0060004081550402	-0.0240016326201608	-0.00382263583924606	0.0352708232301725	0.0310641766833373	-0.232102630724318
ENSG00000003756.16	0.00471455244116097	-0.0188582097646439	0.0546503051159509	-0.240562732309664	0.0393666803345332	-0.0936043424847157
ENSG00000003987.14	0	0	0	0	0	0
ENSG00000003989.17	-0.00284656718160957	0.0113862687264383	0.00311625913087263	-0.10854308829217	-0.0327520957353573	0.140922324743319
ENSG00000004059.11	-0.0075458743429327	0.0301834973717308	-0.0155546758818183	0.19072181069869	-0.0141287234591394	0.0428631109957785
ENSG00000004139.14	-0.0417362057396045	0.166944822958418	-0.0201323411104765	-0.0230083898405447	-0.0300484849300076	-0.218931205362882
ENSG00000004142.12	-0.0132891448216716	0.0531565792866864	-0.0147978692002992	0.108435292525466	-0.0123333881600847	0.0364771436808705
ENSG00000004399.12	0.0428071727536703	-0.171228691014681	0.0182871016747867	0.0208995447711848	-0.0405043951757978	0.0650389542466141
ENSG00000004455.16	-0.0112469949124805	0.0449879796499218	-0.017023355824786	0.0370502482856431	-0.0180782172869048	0.0603657650635577
ENSG00000004468.13	0	0	0	0	0.238932760384154	-0.147608043506069
ENSG00000004478.8	-0.000624461402318455	0.00249784560927382	-0.00998193517804909	0.0607530726794319	-0.0147692807275772	0.0358821585257243
ENSG00000004487.16	0.0178090900405183	-0.0712363601620731	0.000995143407873346	-0.0146461392818168	-0.00621037502114435	0.00489102886119694
ENSG00000004534.15	0.00299974390524025	-0.011998975620961	0.0147571598884025	-0.0696872708573326	0.00734554767302684	0.100952336248456
ENSG00000004660.14	-0.0330771977016341	0.132308790806536	-0.0548366358891699	-0.0626704410161945	-0.0499762533244721	-0.0736443157355239
ENSG00000004700.16	-0.0088913710276718	0.0355654841106872	-0.0258944671864621	0.128445111473543	-0.0146141463511257	0.0975165109263085
ENSG00000004766.17	0.0100013580735955	-0.0400054322943822	-0.000763754257588899	0.00166731510575837	0.0139808879628032	-0.0395080036760719
ENSG00000004776.13	0	0	0	0	0	0
ENSG00000004777.18	0	0	0.0558059132748978	0.0637781865998833	0.0138532025638983	0.0158322315015981
ENSG00000004779.10	-0.0102728216059709	0.0410912864238836	-0.0226753053573022	0.154280410441432	-0.0115855883363021	0.0329330194278309
ENSG00000004799.8	0.044150088531252	-0.176600354125008	0.0204318001446192	0.0233506287367078	0.0165512997886227	0.141235724832886
ENSG00000004809.14	0	0	0	0	0	0
ENSG00000004838.14	0	0	0	0	0	0
ENSG00000004846.16	0	0	0	0	0	0
ENSG00000004848.8	0	0	0	0	0	0
ENSG00000004864.13	0.000735578236666365	-0.00294231294666546	0.0230955116901779	-0.11972773911037	-0.00368920825074744	0.106736321441135
ENSG00000004866.20	-0.0163105010117239	0.0652420040468957	0.00681536178647033	-0.0595815885150925	0.00674952936549976	-0.0882725309862724
ENSG00000004897.12	0.031983818969528	-0.127935275878112	0.021033814130719	-0.0705080206235911	0.0121114185084184	0.0877636429065305
ENSG00000004939.15	0	0	0	0	0	0
ENSG00000004948.14	0	0	0	0	0	0
ENSG00000004961.15	-0.0217375516093929	0.0869502064375717	0.00128025439978331	-0.206763536026938	0.000233683234272102	-0.0846957353726644
ENSG00000004975.12	0.00510428373760405	-0.0204171349504162	-0.0126809657372309	0.157801859803731	0.00187939990349553	-0.0790557797653941
ENSG00000005001.10	-0.0592598074149915	0.237039229659966	-0.0696159067808597	0.308433294639766	-0.0642741529657412	0.103899741468274
ENSG00000005007.12	-0.00601282087311775	0.024051283492471	0.0125661458947623	-0.224319800763033	0.0215576668476422	-0.158637199379436
ENSG00000005020.13	0.0371461715979441	-0.148584686391776	0.0210061639898312	-0.0652035185356922	0.00493868620759431	0.0646164251643742
ENSG00000005022.6	0.00846743727872265	-0.0338697491148906	0.00257961952143316	0.0376631244087597	-0.00311114701095925	0.117126702499051
ENSG00000005059.16	0.0322906625335121	-0.129162650134048	0.0362749685910818	0.054097360004522	0.0565186404844683	0.0936460880086569
ENSG00000005073.5	0	0	0	0	0	0
ENSG00000005075.15	0.0238696530930993	-0.0954786123723973	-0.038851546490766	0.322933716094563	-0.00718979257663076	0.119373358685233
ENSG00000005100.13	0.000752898699796345	-0.00301159479918538	-0.00502110523838208	-0.0763941613036316	-0.00184080762107037	-0.0899663016250361
ENSG00000005102.13	0	0	0	0	0	0
ENSG00000005108.16	-0.13838064293957	0.553522571758279	-0.0275919221676962	-0.180986238768676	-0.0995882697774838	0.1324782802841
ENSG00000005156.11	0.0119116060725826	-0.0476464242903304	0.00453571519508768	0.0342174710648709	-0.00420744261017663	0.015420436563679
ENSG00000005175.10	0.0052159517776571	-0.0208638071106284	0.00426264153070601	-0.0641013010420103	0.00850973595275553	-0.0280132078143374
ENSG00000005187.12	0.068599912037144	-0.274399648148576	0.0214086583875282	-0.064546851225425	0.0236854959358865	-0.14452490866515
ENSG00000005189.19	0.0357289669615346	-0.142915867846138	0.0548043854352547	0.0626335833545772	0.0285142153440202	-0.0653182498181421
ENSG00000005194.15	-0.0285855189113546	0.114342075645418	-0.0136224201086326	0.0719163825334327	-0.00490157600248822	0.00289941474498588
ENSG00000005206.17	-0.00290097309164244	0.0116038923665698	-0.00752345618276387	-0.00859823563744443	-0.0155574030871508	0.0749469996751041
