Gene	T1	T2	log2FoldChange	Colour
ENSG00000000003.14	4	24	0.108054518077808	Not
ENSG00000000005.6	4	24	0	Not
ENSG00000000419.12	4	24	0.053757031112478	Not
ENSG00000000457.14	4	24	0.118945647133058	Not
ENSG00000000460.17	4	24	0.893167348611349	Significant
ENSG00000000938.13	4	24	0	Not
ENSG00000000971.15	4	24	0.856459890744326	Significant
ENSG00000001036.13	4	24	-0.0549703138740239	Not
ENSG00000001084.12	4	24	-0.209481274318022	Not
ENSG00000001167.14	4	24	-0.142191190391071	Not
ENSG00000001460.18	4	24	0.371269816398783	Not
ENSG00000001461.17	4	24	0.285324753503585	Not
ENSG00000001497.16	4	24	0.100631140284733	Not
ENSG00000001561.7	4	24	0.26222448690775	Not
ENSG00000001617.12	4	24	0	Not
ENSG00000001626.15	4	24	-0.0869294517490315	Not
ENSG00000001629.10	4	24	0.238445098822922	Not
ENSG00000001630.17	4	24	0.673472958893277	Significant
ENSG00000001631.15	4	24	0.421616137321149	Not
ENSG00000002016.17	4	24	0.0897159933733477	Not
ENSG00000002079.14	4	24	-1.56939714248099	Not
ENSG00000002330.13	4	24	-0.115940730706481	Not
ENSG00000002549.12	4	24	-0.103197964669163	Not
ENSG00000002586.20	4	24	-0.082061647144009	Not
ENSG00000002587.10	4	24	-0.520978778587255	Significant
ENSG00000002726.20	4	24	0	Not
ENSG00000002745.13	4	24	0	Not
ENSG00000002746.15	4	24	0	Not
ENSG00000002822.15	4	24	-0.165580531641682	Not
ENSG00000002834.18	4	24	0.328423596593015	Significant
ENSG00000002919.14	4	24	0.0907969440579673	Not
ENSG00000002933.9	4	24	0	Not
ENSG00000003056.8	4	24	-0.16235835903058	Not
ENSG00000003096.14	4	24	0	Not
ENSG00000003137.8	4	24	0	Not
ENSG00000003147.19	4	24	-0.213377887840076	Not
ENSG00000003249.13	4	24	-0.618749992902153	Significant
ENSG00000003393.15	4	24	-0.183451070598061	Not
ENSG00000003400.14	4	24	0.594689286685488	Not
ENSG00000003402.20	4	24	-0.277328671483877	Not
ENSG00000003436.16	4	24	-0.691515945708535	Significant
ENSG00000003509.16	4	24	0.120008163100804	Not
ENSG00000003756.16	4	24	0.0942910488232195	Not
ENSG00000003987.14	4	24	0	Not
ENSG00000003989.17	4	24	-0.0569313436321915	Not
ENSG00000004059.11	4	24	-0.150917486858654	Not
ENSG00000004139.14	4	24	-0.834724114792091	Not
ENSG00000004142.12	4	24	-0.265782896433432	Not
ENSG00000004399.12	4	24	0.856143455073406	Not
ENSG00000004455.16	4	24	-0.224939898249609	Not
ENSG00000004468.13	4	24	0	Not
ENSG00000004478.8	4	24	-0.0124892280463691	Not
ENSG00000004487.16	4	24	0.356181800810366	Not
ENSG00000004534.15	4	24	0.059994878104805	Not
ENSG00000004660.14	4	24	-0.661543954032682	Not
ENSG00000004700.16	4	24	-0.177827420553436	Not
ENSG00000004766.17	4	24	0.200027161471911	Not
ENSG00000004776.13	4	24	0	Not
ENSG00000004777.18	4	24	0	Not
ENSG00000004779.10	4	24	-0.205456432119418	Not
ENSG00000004799.8	4	24	0.88300177062504	Not
ENSG00000004809.14	4	24	0	Not
ENSG00000004838.14	4	24	0	Not
ENSG00000004846.16	4	24	0	Not
ENSG00000004848.8	4	24	0	Not
ENSG00000004864.13	4	24	0.0147115647333273	Not
ENSG00000004866.20	4	24	-0.326210020234479	Not
ENSG00000004897.12	4	24	0.63967637939056	Significant
ENSG00000004939.15	4	24	0	Not
ENSG00000004948.14	4	24	0	Not
ENSG00000004961.15	4	24	-0.434751032187859	Not
ENSG00000004975.12	4	24	0.102085674752081	Not
ENSG00000005001.10	4	24	-1.18519614829983	Significant
ENSG00000005007.12	4	24	-0.120256417462355	Not
ENSG00000005020.13	4	24	0.742923431958883	Significant
ENSG00000005022.6	4	24	0.169348745574453	Not
ENSG00000005059.16	4	24	0.645813250670242	Not
ENSG00000005073.5	4	24	0	Not
ENSG00000005075.15	4	24	0.477393061861987	Not
ENSG00000005100.13	4	24	0.0150579739959269	Not
ENSG00000005102.13	4	24	0	Not
ENSG00000005108.16	4	24	-2.7676128587914	Significant
ENSG00000005156.11	4	24	0.238232121451652	Not
ENSG00000005175.10	4	24	0.104319035553142	Not
ENSG00000005187.12	4	24	1.37199824074288	Significant
ENSG00000005189.19	4	24	0.714579339230692	Not
ENSG00000005194.15	4	24	-0.571710378227092	Significant
ENSG00000005206.17	4	24	-0.0580194618328489	Not
ENSG00000005238.19	4	24	0.026860062003557	Not
ENSG00000005243.10	4	24	0	Not
ENSG00000005249.13	4	24	0	Not
ENSG00000005302.18	4	24	0.343224118956886	Not
ENSG00000005339.14	4	24	0.21266346086256	Not
ENSG00000005379.17	4	24	0	Not
ENSG00000005381.7	4	24	0	Not
ENSG00000005421.8	4	24	0	Not
ENSG00000005436.13	4	24	-0.320452568565014	Not
ENSG00000005448.16	4	24	0.0807993866902805	Not
ENSG00000005469.11	4	24	-0.00886174478485405	Not
ENSG00000005471.17	4	24	0	Not
