Gene	T1	T2	log2FoldChange	Colour
ENSG00000000003.14	4	12	-0.375515626467249	Not
ENSG00000000005.6	4	12	0	Not
ENSG00000000419.12	4	12	-0.17504421300963	Not
ENSG00000000457.14	4	12	0.209913953722991	Not
ENSG00000000460.17	4	12	0.624022247434087	Not
ENSG00000000938.13	4	12	0	Not
ENSG00000000971.15	4	12	1.03607790762308	Significant
ENSG00000001036.13	4	12	-0.457363714591644	Not
ENSG00000001084.12	4	12	-0.21004013723294	Not
ENSG00000001167.14	4	12	-0.155755134966494	Not
ENSG00000001460.18	4	12	0.125039965820079	Not
ENSG00000001461.17	4	12	0.0418281680817398	Not
ENSG00000001497.16	4	12	0.161671142363187	Not
ENSG00000001561.7	4	12	0.0274060061338946	Not
ENSG00000001617.12	4	12	0	Not
ENSG00000001626.15	4	12	-0.685749655143472	Significant
ENSG00000001629.10	4	12	0.179951169471061	Not
ENSG00000001630.17	4	12	-0.126836247383555	Not
ENSG00000001631.15	4	12	0.0106723056160478	Not
ENSG00000002016.17	4	12	0.374681827649373	Not
ENSG00000002079.14	4	12	-0.423642430686643	Not
ENSG00000002330.13	4	12	0.207263976903374	Not
ENSG00000002549.12	4	12	0.46179436735245	Not
ENSG00000002586.20	4	12	0.0574183578096361	Not
ENSG00000002587.10	4	12	-0.0868142362324564	Not
ENSG00000002726.20	4	12	0	Not
ENSG00000002745.13	4	12	0	Not
ENSG00000002746.15	4	12	0	Not
ENSG00000002822.15	4	12	-0.142250571893411	Not
ENSG00000002834.18	4	12	0.0257740710609405	Not
ENSG00000002919.14	4	12	0.23100487588124	Not
ENSG00000002933.9	4	12	0	Not
ENSG00000003056.8	4	12	-0.178043363115454	Not
ENSG00000003096.14	4	12	0	Not
ENSG00000003137.8	4	12	0	Not
ENSG00000003147.19	4	12	-0.0356426619403754	Not
ENSG00000003249.13	4	12	-0.541315589044061	Not
ENSG00000003393.15	4	12	0.092279760654201	Not
ENSG00000003400.14	4	12	0.698030423051943	Not
ENSG00000003402.20	4	12	0.0381087086500438	Not
ENSG00000003436.16	4	12	-0.885109464747634	Significant
ENSG00000003509.16	4	12	0.0226996596145335	Not
ENSG00000003756.16	4	12	0.378638409338646	Not
ENSG00000003987.14	4	12	0	Not
ENSG00000003989.17	4	12	-0.231278065002832	Not
ENSG00000004059.11	4	12	0.218237545402565	Not
ENSG00000004139.14	4	12	-0.437159406970347	Not
ENSG00000004142.12	4	12	0.0129338883289903	Not
ENSG00000004399.12	4	12	0.397091350652511	Not
ENSG00000004455.16	4	12	-0.21896864663429	Not
ENSG00000004468.13	4	12	0	Not
ENSG00000004478.8	4	12	-0.0243212628450979	Not
ENSG00000004487.16	4	12	-0.0204803611378757	Not
ENSG00000004534.15	4	12	0.0896342622972923	Not
ENSG00000004660.14	4	12	-1.19073837930769	Not
ENSG00000004700.16	4	12	-0.140843090217843	Not
ENSG00000004766.17	4	12	-0.0098105725263038	Not
ENSG00000004776.13	4	12	0	Not
ENSG00000004777.18	4	12	1.21178554539778	Not
ENSG00000004779.10	4	12	-0.0118579388258205	Not
ENSG00000004799.8	4	12	0.443661945997445	Not
ENSG00000004809.14	4	12	0	Not
ENSG00000004838.14	4	12	0	Not
ENSG00000004846.16	4	12	0	Not
ENSG00000004848.8	4	12	0	Not
ENSG00000004864.13	4	12	0.111842247255669	Not
ENSG00000004866.20	4	12	-0.031664149359467	Not
ENSG00000004897.12	4	12	0.204609808777178	Not
ENSG00000004939.15	4	12	0	Not
ENSG00000004948.14	4	12	0	Not
ENSG00000004961.15	4	12	-0.527471347275879	Not
ENSG00000004975.12	4	12	0.184093599048306	Not
ENSG00000005001.10	4	12	-0.477008140870006	Not
ENSG00000005007.12	4	12	-0.363618078665858	Not
ENSG00000005020.13	4	12	0.218239011715004	Not
ENSG00000005022.6	4	12	0.148587896156778	Not
ENSG00000005059.16	4	12	0.821392373712252	Not
ENSG00000005073.5	4	12	0	Not
ENSG00000005075.15	4	12	0.135927708424537	Not
ENSG00000005100.13	4	12	-0.297445061259483	Not
ENSG00000005102.13	4	12	0	Not
ENSG00000005108.16	4	12	-0.997679183846799	Significant
ENSG00000005156.11	4	12	0.175913273147959	Not
ENSG00000005175.10	4	12	-0.0913674942055153	Not
ENSG00000005187.12	4	12	0.227503353299393	Not
ENSG00000005189.19	4	12	1.19003808373696	Not
ENSG00000005194.15	4	12	-0.0625081552719877	Not
ENSG00000005206.17	4	12	-0.163366477111444	Not
ENSG00000005238.19	4	12	-0.109328652879781	Not
ENSG00000005243.10	4	12	0	Not
ENSG00000005249.13	4	12	0	Not
ENSG00000005302.18	4	12	-0.0377781426509164	Not
ENSG00000005339.14	4	12	0.225129117263851	Not
ENSG00000005379.17	4	12	0	Not
ENSG00000005381.7	4	12	0	Not
ENSG00000005421.8	4	12	0	Not
ENSG00000005436.13	4	12	-0.525580878724716	Not
ENSG00000005448.16	4	12	0.0829987676022488	Not
ENSG00000005469.11	4	12	-0.161548561429812	Not
ENSG00000005471.17	4	12	0	Not
ENSG00000005483.20	4	12	0.916447739788208	Significant
ENSG00000005486.17	4	12	-0.430303832734085	Not
ENSG00000005513.10	4	12	0	Not
ENSG00000005700.15	4	12	0.0422447575792619	Not
ENSG00000005801.18	4	12	-0.0274621436842799	Not
ENSG00000005810.18	4	12	0.525663389450743	Not
ENSG00000005812.11	4	12	0.156557300695048	Not
ENSG00000005844.17	4	12	0	Not
ENSG00000005882.11	4	12	-0.233523027824095	Not
ENSG00000005884.18	4	12	-0.577601906570347	Significant
ENSG00000005889.15	4	12	0.30853934549094	Not
ENSG00000005893.15	4	12	-0.531335879404216	Significant
ENSG00000005961.18	4	12	0	Not
ENSG00000005981.13	4	12	0	Not
ENSG00000006007.12	4	12	0.0464683326135749	Not
ENSG00000006015.17	4	12	-0.280438324040924	Not
ENSG00000006016.11	4	12	0	Not
ENSG00000006025.12	4	12	0.35907265958324	Not
ENSG00000006042.12	4	12	0	Not
ENSG00000006047.13	4	12	0	Not
ENSG00000006062.16	4	12	0.605701158481081	Not
ENSG00000006071.13	4	12	0	Not
ENSG00000006116.3	4	12	0	Not
ENSG00000006118.14	4	12	0.129312341510853	Not
ENSG00000006125.18	4	12	-0.0841887007413257	Not
ENSG00000006128.12	4	12	0	Not
ENSG00000006194.10	4	12	-0.188763383989369	Not
ENSG00000006210.7	4	12	1.31646409726035	Significant
ENSG00000006282.21	4	12	-0.0493893523852989	Not
ENSG00000006283.18	4	12	0	Not
ENSG00000006327.13	4	12	-0.312414442745506	Not
ENSG00000006377.11	4	12	0	Not
ENSG00000006432.15	4	12	0.186597920875936	Not
ENSG00000006451.8	4	12	-0.362303333363895	Not
ENSG00000006453.14	4	12	-0.152925982635948	Not
ENSG00000006459.11	4	12	0.0969280694367305	Not
ENSG00000006468.14	4	12	0.541919199085914	Not
ENSG00000006530.17	4	12	-0.261186877192096	Not
ENSG00000006534.16	4	12	0.0838811276835723	Not
ENSG00000006555.11	4	12	-0.599668465348831	Not
ENSG00000006576.16	4	12	0.296683155444217	Not
ENSG00000006606.8	4	12	0	Not
ENSG00000006607.14	4	12	0.127149170229523	Not
ENSG00000006611.16	4	12	-0.405246807157509	Not
ENSG00000006625.18	4	12	-0.37900229855299	Not
ENSG00000006634.8	4	12	0.230012202117254	Not
ENSG00000006638.11	4	12	0	Not
ENSG00000006652.14	4	12	-0.0324996087106154	Not
ENSG00000006659.13	4	12	0	Not
ENSG00000006695.11	4	12	0.201276688211161	Not
ENSG00000006704.10	4	12	0.0196748695825676	Not
ENSG00000006712.15	4	12	0.25274397326153	Not
ENSG00000006715.16	4	12	0.0284683161825055	Not
ENSG00000006740.17	4	12	0.282659785599848	Not
ENSG00000006744.19	4	12	-0.122841400522698	Not
ENSG00000006747.15	4	12	-0.29296567971574	Not
ENSG00000006756.16	4	12	-0.370434914339576	Not
ENSG00000006757.12	4	12	-0.274276244717189	Not
ENSG00000006788.14	4	12	0	Not
ENSG00000006831.10	4	12	-0.170398826693667	Not
ENSG00000006837.12	4	12	0	Not
ENSG00000007001.12	4	12	0	Not
ENSG00000007038.11	4	12	0	Not
ENSG00000007047.15	4	12	0.169291954631256	Not
ENSG00000007062.11	4	12	-0.662659247582591	Significant
ENSG00000007080.11	4	12	0.125944949770786	Not
ENSG00000007129.18	4	12	0	Not
ENSG00000007168.13	4	12	-0.294761301825074	Not
ENSG00000007171.17	4	12	0	Not
ENSG00000007174.18	4	12	0	Not
ENSG00000007202.15	4	12	0.106465004195211	Not
ENSG00000007216.14	4	12	0	Not
ENSG00000007237.18	4	12	0	Not
ENSG00000007255.10	4	12	-0.241545309626468	Not
ENSG00000007264.15	4	12	0	Not
ENSG00000007306.15	4	12	0	Not
ENSG00000007312.12	4	12	0	Not
ENSG00000007314.12	4	12	0	Not
ENSG00000007341.19	4	12	-0.540866681618756	Not
ENSG00000007350.17	4	12	0	Not
ENSG00000007372.22	4	12	0	Not
ENSG00000007376.8	4	12	-0.15352145810883	Not
ENSG00000007384.15	4	12	0.0897351529611182	Not
ENSG00000007392.16	4	12	-0.0425918482091584	Not
ENSG00000007402.11	4	12	0	Not
ENSG00000007516.13	4	12	-0.664334066787102	Not
ENSG00000007520.4	4	12	0.0658660925339142	Not
ENSG00000007541.16	4	12	0.275322428578168	Not
ENSG00000007545.15	4	12	0.3087089295378	Not
ENSG00000007866.21	4	12	0.0241323517117927	Not
ENSG00000007908.16	4	12	0	Not
ENSG00000007923.16	4	12	-0.452279636945854	Not
